,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
225,225,MIIC,5,1.3,2,1000,0,0.0015931129455566,False,1.0,0.3333333333333333,0.5,4,6
226,226,GHC,5,1.3,2,1000,0,0.010063886642456,False,0.8,0.6666666666666666,0.7272727272727272,3,6
227,227,FCI,5,1.3,2,1000,0,0.0014519691467285,False,0.0,0.0,0.0,0,0
228,228,MIIC,5,1.3,2,1000,1,0.0024268627166748,False,1.0,1.0,1.0,0,2
229,229,GHC,5,1.3,2,1000,1,0.0112979412078857,False,0.8333333333333334,1.0,0.9090909090909092,1,5
230,230,FCI,5,1.3,2,1000,1,0.0039539337158203,False,0.0,0.0,0.0,0,0
231,231,MIIC,5,1.3,2,1000,2,0.0018250942230224,False,1.0,0.6666666666666666,0.8,2,2
232,232,GHC,5,1.3,2,1000,2,0.010488748550415,False,1.0,0.6666666666666666,0.8,2,4
233,233,FCI,5,1.3,2,1000,2,0.0023970603942871,False,0.0,0.0,0.0,0,0
234,234,MIIC,5,1.3,2,1000,3,0.0023369789123535,False,0.8,0.6666666666666666,0.7272727272727272,3,4
235,235,GHC,5,1.3,2,1000,3,0.0105810165405273,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,8
236,236,FCI,5,1.3,2,1000,3,0.0041720867156982,False,0.0,0.0,0.0,0,0
237,237,MIIC,5,1.3,2,1000,4,0.0014550685882568,False,1.0,0.3333333333333333,0.5,4,6
238,238,GHC,5,1.3,2,1000,4,0.0094809532165527,False,1.0,0.5,0.6666666666666666,3,6
239,239,FCI,5,1.3,2,1000,4,0.0014588832855224,False,0.0,0.0,0.0,0,0
240,240,MIIC,5,1.3,3,100,0,0.0012872219085693,False,1.0,0.2,0.3333333333333333,4,4
241,241,GHC,5,1.3,3,100,0,0.0095167160034179,False,1.0,0.2,0.3333333333333333,4,4
242,242,FCI,5,1.3,3,100,0,0.0010650157928466,False,1.0,0.4,0.5714285714285715,3,3
243,243,MIIC,5,1.3,3,100,1,0.0016908645629882,False,1.0,0.6,0.7499999999999999,2,3
244,244,GHC,5,1.3,3,100,1,0.010854959487915,False,1.0,0.8,0.888888888888889,1,1
245,245,FCI,5,1.3,3,100,1,0.0015358924865722,False,0.0,0.0,0.0,0,0
246,246,MIIC,5,1.3,3,100,2,0.0011649131774902,False,1.0,0.2,0.3333333333333333,4,5
247,247,GHC,5,1.3,3,100,2,0.009768009185791,False,1.0,0.2,0.3333333333333333,4,5
248,248,FCI,5,1.3,3,100,2,0.000838279724121,False,0.0,0.0,0.0,0,0
249,249,MIIC,5,1.3,3,100,3,0.0015158653259277,False,0.75,0.6,0.6666666666666665,3,3
250,250,GHC,5,1.3,3,100,3,0.0105931758880615,False,0.6666666666666666,0.4,0.5,4,4
251,251,FCI,5,1.3,3,100,3,0.0018470287322998,False,1.0,0.4,0.5714285714285715,3,3
252,252,MIIC,5,1.3,3,100,4,0.0016851425170898,False,1.0,0.75,0.8571428571428571,1,1
253,253,GHC,5,1.3,3,100,4,0.0117301940917968,False,1.0,0.75,0.8571428571428571,1,1
254,254,FCI,5,1.3,3,100,4,0.0012969970703125,False,1.0,0.75,0.8571428571428571,1,1
255,255,MIIC,5,1.3,3,250,0,0.0013151168823242,False,1.0,0.4,0.5714285714285715,3,3
256,256,GHC,5,1.3,3,250,0,0.0088350772857666,False,1.0,0.4,0.5714285714285715,3,3
257,257,FCI,5,1.3,3,250,0,0.0009148120880126,False,1.0,0.4,0.5714285714285715,3,3
258,258,MIIC,5,1.3,3,250,1,0.0014617443084716,False,1.0,0.6,0.7499999999999999,2,4
259,259,GHC,5,1.3,3,250,1,0.0095460414886474,False,1.0,0.6,0.7499999999999999,2,2
260,260,FCI,5,1.3,3,250,1,0.0015420913696289,False,0.0,0.0,0.0,0,0
261,261,MIIC,5,1.3,3,250,2,0.0013461112976074,False,1.0,0.3333333333333333,0.5,4,4
262,262,GHC,5,1.3,3,250,2,0.0092051029205322,False,1.0,0.3333333333333333,0.5,4,4
263,263,FCI,5,1.3,3,250,2,0.000694990158081,False,1.0,0.1666666666666666,0.2857142857142857,5,5
264,264,MIIC,5,1.3,3,250,3,0.0016229152679443,False,1.0,0.6,0.7499999999999999,2,2
